# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	6213
#@/user_id	88a4665f-cb8c-4a39-a4d3-76505fd31b15
a 	啊	c=2 d=0.00311829 t=6213
bo 	波	c=1 d=0.00860854 t=6213
bo dong 	波動	c=2 d=0.00319602 t=6213
bo ke 	博客	c=1 d=0.0349094 t=6213
bu 	不	c=9 d=0.107662 t=6213
bu 	補	c=0 d=0.012938 t=6213
bu an 	不按	c=0 d=1.01318e-008 t=6213
bu an di yu 	不按地域	c=1 d=1.01826e-007 t=6213
bu chi 	不吃	c=0 d=0.187883 t=6213
bu chong 	補充	c=3 d=2.54222e-005 t=6213
bu da 	不大	c=1 d=1.01861e-008 t=6213
bu dao jin tian lai le 	補到今天來了	c=1 d=0.130029 t=6213
bu dou shi 	不都是	c=1 d=1 t=5295
bu dui 	不對	c=3 d=0.0483156 t=6213
bu dui ying 	不對應	c=1 d=4.58562e-005 t=6213
bu er 	不二	c=0 d=1.59668e-006 t=6213
bu er qing shu 	不二情書	c=1 d=1.60468e-005 t=6213
bu fen 	不分	c=0 d=4.21267e-008 t=6213
bu fen 	部分	c=4 d=0.00266268 t=6213
bu fen di yu 	不分地域	c=1 d=4.23378e-007 t=6213
bu guo 	不過	c=10 d=0.0475772 t=6213
bu hao 	不好	c=0 d=0.00160835 t=6213
bu hao yao 	不好要	c=1 d=0.000773179 t=6213
bu hao yi si 	不好意思	c=1 d=1 t=5507
bu hao zhao 	不好找	c=1 d=1 t=5388
bu hui 	不回	c=2 d=1.34553e-007 t=6213
bu hui 	不會	c=5 d=0.137826 t=6213
bu hui ba 	不會吧	c=1 d=0.000189713 t=6213
bu hui de 	不會的	c=1 d=7.08703e-009 t=6213
bu hui shi 	不會是	c=2 d=0.193014 t=6213
bu jia 	不加	c=1 d=0.423162 t=6213
bu ju xian 	不侷限	c=1 d=0.000267872 t=6213
bu kan le 	不看了	c=0 d=0.1 t=5906
bu kou fei 	不扣費	c=1 d=1 t=6152
bu liao 	不了	c=0 d=0.1 t=5242
bu liao le 	不了了	c=1 d=0.00022263 t=6213
bu neng 	不能	c=1 d=0.0706512 t=6213
bu neng tuo shui 	不能脫水	c=1 d=4.46237e-008 t=6213
bu neng zhi jie 	不能直接	c=1 d=0.000825105 t=6213
bu qi 	補齊	c=1 d=0.000515692 t=6213
bu qing chu 	不清楚	c=1 d=0.000176887 t=6213
bu que ding 	不確定	c=1 d=0.037068 t=6213
bu rong yi 	不容易	c=1 d=0.0225956 t=6213
bu shao 	不少	c=1 d=1 t=5770
bu shi 	不是	c=18 d=1.84177 t=6213
bu shi bie 	不识别	c=1 d=0.0234005 t=6213
bu shui jiao 	不睡覺	c=1 d=2.1232e-005 t=6213
bu shuo 	不說	c=1 d=1.63315e-006 t=6213
bu tai 	不太	c=0 d=1.05435e-006 t=6213
bu tai hao 	不太好	c=1 d=2.8025e-006 t=6213
bu tai ke neng 	不太可能	c=1 d=1.05964e-005 t=6213
bu tao 	不掏	c=1 d=0.0152222 t=6213
bu tiao zhuan 	不跳轉	c=1 d=5.28837e-006 t=6213
bu tong 	不同	c=10 d=0.0155251 t=6213
bu tong di fang zai yu 	不同地方在於	c=1 d=2.57413e-006 t=6213
bu tong di yu 	不同地域	c=1 d=1.85571e-009 t=6213
bu tong guang gao zhu 	不同廣告主	c=1 d=1.46303e-006 t=6213
bu tong mo ban 	不同模板	c=1 d=1 t=4930
bu tou 	不投	c=0 d=0.000189223 t=6213
bu xian zhi 	不限制	c=2 d=3.01409e-009 t=6213
bu xing 	不行	c=2 d=0.201121 t=6213
bu xu yao 	不需要	c=4 d=1.73442 t=6213
bu yi ding 	不一定	c=1 d=1 t=5396
bu yi yang 	不一樣	c=4 d=0.119068 t=6213
bu yi zhi 	不一致	c=3 d=0.606531 t=6213
bu ying xiang 	不影響	c=2 d=9.34498e-009 t=6213
bu yong 	不用	c=7 d=0.486104 t=6213
bu yong dong 	不用動	c=1 d=1 t=6035
bu yong le ba 	不用了吧	c=1 d=1 t=5526
bu yong xin ji qun 	不用新機羣	c=1 d=0.106992 t=6213
bu yong zhe ge 	不用這個	c=1 d=1 t=5247
bu zai 	不再	c=0 d=0.1 t=5457
bu zai 	不在	c=1 d=0.0237646 t=6213
bu zai dui jie 	不再對接	c=1 d=1 t=5458
bu zai kai fa 	不在開發	c=1 d=1 t=5457
bu zai zhe li 	不在這裏	c=1 d=5.08188e-008 t=6213
bu zhao ji 	不着急	c=0 d=3.44131e-011 t=6213
bu zhao ji shang xian 	不着急上線	c=1 d=3.45856e-010 t=6213
bu zhi chi 	不支持	c=4 d=0.162736 t=6213
bu zhi dao 	不知道	c=4 d=0.108609 t=6213
bu zuo le 	不做了	c=0 d=0.1 t=5423
cai 	才	c=0 d=0.0242926 t=6213
cai dui 	纔對	c=1 d=2.20452e-006 t=6213
cai hui lai 	纔回來	c=1 d=1 t=4903
cai kai shi 	纔開始	c=1 d=3.3138e-007 t=6213
cai neng 	才能	c=1 d=0.0138427 t=6213
cai neng he 	才能和	c=1 d=2.87393e-008 t=6213
cai neng tou chu qu 	才能投出去	c=1 d=1.00587e-010 t=6213
cai xing 	才行	c=3 d=0.0192007 t=6213
cai yong 	採用	c=2 d=0.000189223 t=6213
cai you 	纔有	c=1 d=0.000242539 t=6213
cai you yong 	才有用	c=1 d=0.244143 t=6213
can kao 	參考	c=1 d=0.00342634 t=6213
can shu 	參數	c=10 d=0.807308 t=6213
can shu ti huan 	參數替換	c=1 d=2.40092e-010 t=6213
can ting 	餐廳	c=0 d=0.1 t=4907
cao zuo 	操作	c=1 d=0.0483702 t=6213
ce 	測	c=2 d=0.00261012 t=6213
ce shi 	測試	c=8 d=0.0111246 t=6213
ce shi yong li 	測試用例	c=3 d=1.81239e-006 t=6213
cha 	差	c=0 d=0.000565622 t=6213
cha 	查	c=3 d=0.030795 t=6213
cha ba 	查吧	c=1 d=0.00246639 t=6213
cha bie 	差別	c=1 d=7.53129e-008 t=6213
cha bie bu da 	差別不大	c=1 d=5.67279e-008 t=6213
cha bie hen da 	差別很大	c=1 d=3.11329e-008 t=6213
cha bu dao 	查不到	c=1 d=5.55951e-006 t=6213
cha bu duo 	差不多	c=0 d=0.000238156 t=6213
cha bu duo da xiao 	差不多大小	c=1 d=0.0023935 t=6213
cha bu duo le 	差不多了	c=1 d=1 t=5431
cha chu lai 	查出來	c=0 d=0.0287941 t=6213
cha chu lai de 	查出來的	c=1 d=0.289384 t=6213
cha dao 	查到	c=2 d=0.00512952 t=6213
cha dao zui hou 	查到最後	c=1 d=0.000116223 t=6213
cha de 	查的	c=0 d=2.72515e-011 t=6213
cha de kuai 	查得快	c=1 d=0.00250366 t=6213
cha hen duo 	差很多	c=1 d=1.15962e-007 t=6213
cha jian 	插件	c=9 d=0.805539 t=6213
cha jian guan li qi 	插件管理器	c=1 d=0.0323869 t=6213
cha kan 	查看	c=5 d=0.199642 t=6213
cha ping 	插屏	c=1 d=1 t=5296
cha tai duo 	差太多	c=1 d=4.54951e-008 t=6213
cha xia 	插下	c=1 d=3.34767e-009 t=6213
cha xia 	查下	c=1 d=3.36445e-009 t=6213
cha xun 	查詢	c=3 d=0.806993 t=6213
cha xun chu lai 	查詢出來	c=1 d=0.000129737 t=6213
cha yi 	差異	c=1 d=3.44748e-006 t=6213
cha yi bao biao 	差異報表	c=1 d=7.57998e-006 t=6213
cha zhao 	查找	c=1 d=7.19168e-005 t=6213
chai 	拆	c=0 d=0.10773 t=5344
chai cheng le 	拆成了	c=1 d=1 t=4833
chai fen dao 	拆分到	c=1 d=1 t=5345
chang jian 	常見	c=0 d=1.31108e-011 t=6213
chang jing 	場景	c=5 d=0.00669235 t=6213
chang ping 	昌平	c=0 d=1.6371e-006 t=6213
chang ping hui long guan 	昌平回龍觀	c=1 d=1.6453e-005 t=6213
chang yong 	常用	c=0 d=0.00354664 t=6213
chang yong yu 	常用語	c=3 d=0.956093 t=6213
chao 	超	c=0 d=0.1 t=5108
chao e 	超額	c=3 d=2.53801 t=5089
chao le 	超了	c=1 d=0.560704 t=5770
chao shi 	超市	c=1 d=2.84582e-010 t=6213
chao shi 	超時	c=3 d=2.00205e-009 t=6213
chao song 	抄送	c=0 d=0.0755784 t=6213
chao xian 	超限	c=7 d=5.25883 t=5698
cheng 	成	c=3 d=0.132655 t=6213
cheng du 	程度	c=1 d=9.0327e-010 t=6213
cheng le 	成了	c=0 d=0.1 t=4832
cheng shi 	城市	c=3 d=2.42601e-010 t=6213
cheng shu 	成熟	c=0 d=6.89538e-011 t=6213
cheng xu 	程序	c=1 d=0.554327 t=6213
cheng yi 	乘以	c=1 d=1 t=4966
chi 	吃	c=1 d=0.0376283 t=6213
chi ba 	吃吧	c=0 d=0.00389686 t=6213
chi cun 	尺寸	c=2 d=1.8119 t=4938
chi fan 	吃飯	c=1 d=0.927743 t=6213
chi jiu 	持久	c=0 d=6.69159e-011 t=6213
chi jiu hua 	持久話	c=1 d=6.72513e-010 t=6213
chi le 	吃了	c=0 d=0.00164078 t=6213
chong 	重	c=0 d=1.58926e-010 t=6213
chong ding xiang 	重定向	c=1 d=7.56041e-005 t=6213
chong fu 	重複	c=5 d=0.0128738 t=6213
chong fu hang 	重複行	c=1 d=3.13593e-005 t=6213
chong gou 	重構	c=2 d=0.774916 t=6213
chong gou gong ju 	重構工具	c=1 d=1 t=5981
chong pao shu ju 	重跑數據	c=1 d=1.59722e-009 t=6213
chong qi 	重啓	c=1 d=0.0238732 t=6213
chong xin 	重新	c=0 d=0.1 t=5921
chong xin jia zai 	重新加載	c=1 d=1 t=5922
chu 	出	c=0 d=0.1 t=5046
chu bu 	初步	c=1 d=4.26602e-008 t=6213
chu cuo 	出錯	c=1 d=5.80138e-007 t=6213
chu fa 	出發	c=1 d=1.39168e-006 t=6213
chu fa 	觸發	c=1 d=0.00559994 t=6213
chu jia 	出價	c=4 d=0.00411557 t=6213
chu lai 	出來	c=1 d=0.00125 t=6213
chu lai de 	出來的	c=1 d=1 t=5610
chu le 	除了	c=1 d=9.4942e-008 t=6213
chu li 	處理	c=12 d=0.779657 t=6213
chu qian 	出錢	c=0 d=4.59827e-009 t=6213
chu shu 	處暑	c=1 d=6.36307e-006 t=6213
chu wen ti 	出問題	c=9 d=0.322514 t=6213
chu yi chang 	出異常	c=1 d=1 t=5047
chuan 	串	c=1 d=1.20715e-009 t=6213
chuan 	傳	c=1 d=0.231078 t=6213
chuan bu guo lai 	传不过来	c=0 d=0.1 t=5516
chuan bu guo lai le 	传不过来了	c=1 d=1 t=5517
chuan di 	傳遞	c=1 d=1.64586e-009 t=6213
chuan hui lai 	傳回來	c=1 d=0.241714 t=6213
chuan xing 	串行	c=2 d=0.0001036 t=6213
chuan xing 	穿行	c=1 d=3.51931e-009 t=6213
chuan zhi 	傳值	c=1 d=0.0043831 t=6213
